Asset,T Ret,T <=2019,T >=2020,T Sharpe,T Mean,T Std,T-P Ret,T-P <=2019,T-P >=2020,T-P Sharpe,T-P Mean,T-P Std,Trades,Start,End
XOM,1.70,0.85,0.86,0.32,0.02,0.05,1.18,1.19,0.00,0.29,0.02,0.00,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MCHP,2.15,1.17,0.98,0.32,0.02,0.07,0.13,0.07,0.06,0.21,0.01,0.00,151.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TEL,1.78,0.98,0.80,0.32,0.02,0.05,0.49,0.29,0.21,0.22,0.01,0.00,154.00,2013-11-18 00:00:00,2023-11-16 00:00:00
RF,1.82,1.22,0.60,0.32,0.02,0.06,0.65,0.55,0.10,0.25,0.01,-0.02,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
GPC,1.51,0.61,0.90,0.32,0.02,0.05,0.64,0.32,0.32,0.25,0.01,0.00,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MS,2.35,1.28,1.07,0.32,0.02,0.08,0.88,0.66,0.22,0.22,0.02,0.01,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
APA,2.74,1.13,1.60,0.32,0.03,0.10,1.89,1.96,-0.07,0.29,0.03,-0.02,136.00,2013-11-18 00:00:00,2023-11-15 00:00:00
BAC,1.67,0.81,0.86,0.32,0.02,0.06,0.50,-0.16,0.66,0.24,0.01,-0.01,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MCD,1.14,0.67,0.47,0.32,0.01,0.04,-0.13,-0.07,-0.06,0.19,0.01,0.00,137.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EXR,1.55,0.87,0.69,0.32,0.02,0.05,0.03,-0.08,0.12,0.20,0.01,-0.01,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FICO,2.18,1.38,0.80,0.32,0.02,0.07,-1.29,-0.70,-0.59,0.10,0.01,-0.01,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FSLR,3.49,2.06,1.43,0.32,0.03,0.11,1.49,1.63,-0.14,0.23,0.03,0.01,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
NDAQ,1.43,0.52,0.91,0.31,0.01,0.05,-0.33,-0.60,0.27,0.17,0.01,0.00,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
F,2.36,0.35,2.01,0.31,0.03,0.08,2.18,0.84,1.34,0.30,0.03,0.01,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LH,1.54,0.79,0.75,0.31,0.02,0.05,0.35,0.22,0.13,0.22,0.01,0.00,138.00,2013-11-18 00:00:00,2023-11-16 00:00:00
RVTY,1.51,0.36,1.15,0.31,0.02,0.05,0.30,-0.71,1.01,0.22,0.01,-0.01,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FCX,4.06,2.52,1.54,0.31,0.04,0.13,2.64,2.72,-0.08,0.26,0.03,0.02,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ETSY,3.91,2.02,1.88,0.31,0.05,0.15,1.53,0.91,0.62,0.21,0.03,0.02,121.00,2015-04-16 00:00:00,2023-11-16 00:00:00
CDW,1.82,1.63,0.20,0.31,0.02,0.06,-0.89,-0.40,-0.49,0.11,0.01,0.00,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SEDG,3.65,1.48,2.17,0.31,0.04,0.14,0.52,-0.88,1.39,0.20,0.03,0.01,121.00,2015-03-26 00:00:00,2023-11-16 00:00:00
MTD,1.59,1.17,0.43,0.31,0.02,0.06,-0.21,-0.14,-0.07,0.16,0.01,0.00,131.00,2013-11-18 00:00:00,2023-11-16 00:00:00
GE,2.12,1.34,0.79,0.31,0.02,0.07,1.86,1.96,-0.10,0.29,0.02,0.00,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LOW,1.85,0.94,0.91,0.31,0.02,0.06,0.05,-0.01,0.07,0.18,0.01,0.00,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SRE,1.03,0.32,0.71,0.30,0.01,0.04,0.14,-0.19,0.33,0.24,0.01,-0.02,133.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AMGN,1.56,1.04,0.53,0.30,0.02,0.05,0.39,0.22,0.17,0.21,0.01,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AOS,1.85,1.40,0.45,0.30,0.02,0.06,0.45,0.74,-0.28,0.21,0.01,0.01,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FOXA,0.87,0.17,0.70,0.30,0.02,0.06,0.82,0.22,0.60,0.30,0.02,-0.01,65.00,2019-03-12 00:00:00,2023-11-16 00:00:00
RCL,3.38,0.81,2.56,0.30,0.03,0.11,1.18,-0.58,1.75,0.21,0.02,0.00,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
